,Roberta_MLM,Roberta_QA,Roberta_Electra,Reformer_MLM,Reformer_QA,Reformer_Electra
Roberta_MLM,1.0,-0.029044199004906724,-0.016527332595705345,0.0352815212592645,-0.009931850638015565,0.1359477376719254
Roberta_QA,-0.029044199004906724,1.0,0.09625733004655403,0.051407614434663726,0.1892035304492837,0.06680800852535437
Roberta_Electra,-0.016527332595705345,0.09625733004655403,1.0,-0.047297266901195616,-0.1049207004802489,0.00422019896294656
Reformer_MLM,0.0352815212592645,0.051407614434663726,-0.047297266901195616,1.0,0.46160514718142565,0.25182079475192737
Reformer_QA,-0.009931850638015565,0.1892035304492837,-0.1049207004802489,0.46160514718142565,1.0,0.20309888876171628
Reformer_Electra,0.1359477376719254,0.06680800852535437,0.00422019896294656,0.25182079475192737,0.20309888876171628,1.0
